item_id,const_name,name,name_ko,price,pocket,hold_effect,hold_effect_param,description,description_ko,item_type,field_use_func,battle_usage,battle_use_func,secondary_id,importance,registrability
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
63,ITEM_HP_UP,HP UP,,9800,1,0,0,A nutritious drink for POKéMON.\nIt raises the base HP of one\nPOKéMON.,,1,,0,,0,0,0
64,ITEM_PROTEIN,PROTEIN,,9800,1,0,0,A nutritious drink for POKéMON.\nIt raises the base ATTACK stat of\none POKéMON.,,1,,0,,0,0,0
65,ITEM_IRON,IRON,,9800,1,0,0,A nutritious drink for POKéMON.\nIt raises the base DEFENSE stat of\none POKéMON.,,1,,0,,0,0,0
66,ITEM_CARBOS,CARBOS,,9800,1,0,0,A nutritious drink for POKéMON.\nIt raises the base SPEED stat of\none POKéMON.,,1,,0,,0,0,0
67,ITEM_CALCIUM,CALCIUM,,9800,1,0,0,A nutritious drink for POKéMON.\nIt raises the base SP. ATK stat\nof one POKéMON.,,1,,0,,0,0,0
68,ITEM_RARE_CANDY,RARE CANDY,,4800,1,0,0,A candy that is packed with energy.\nIt raises the level of a POKéMON\nby one.,,1,,0,,0,0,0
69,ITEM_PP_UP,PP UP,,9800,1,0,0,Slightly raises the maximum PP of\na selected move for one POKéMON.,,1,,0,,0,0,0
70,ITEM_ZINC,ZINC,,9800,1,0,0,A nutritious drink for POKéMON.\nIt raises the base SP. DEF stat\nof one POKéMON.,,1,,0,,0,0,0
71,ITEM_PP_MAX,PP MAX,,9800,1,0,0,Raises the PP of a selected move\nto its maximum level for one\nPOKéMON.,,1,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
73,ITEM_GUARD_SPEC,GUARD SPEC.,,700,1,0,0,An item that prevents stat reduction\namong party POKéMON for five turns\nafter use.,,4,,2,,0,0,0
74,ITEM_DIRE_HIT,DIRE HIT,,650,1,0,0,Raises the critical-hit ratio of\nPOKéMON in battle. Wears off if the\nPOKéMON is withdrawn.,,4,,2,,0,0,0
75,ITEM_X_ATTACK,X ATTACK,,500,1,0,0,Raises the ATTACK stat of POKéMON\nin battle. Wears off if the POKéMON\nis withdrawn.,,4,,2,,0,0,0
76,ITEM_X_DEFEND,X DEFEND,,550,1,0,0,Raises the DEFENSE stat of POKéMON\nin battle. Wears off if the POKéMON\nis withdrawn.,,4,,2,,0,0,0
77,ITEM_X_SPEED,X SPEED,,350,1,0,0,Raises the SPEED stat of POKéMON\nin battle. Wears off if the POKéMON\nis withdrawn.,,4,,2,,0,0,0
78,ITEM_X_ACCURACY,X ACCURACY,,950,1,0,0,Raises the accuracy stat of\nPOKéMON in battle. Wears off if the\nPOKéMON is withdrawn.,,4,,2,,0,0,0
79,ITEM_X_SPECIAL,X SPECIAL,,350,1,0,0,Raises the SP. ATK stat of\nPOKéMON in battle. Wears off if the\nPOKéMON is withdrawn.,,4,,2,,0,0,0
80,ITEM_POKE_DOLL,POKé DOLL,,1000,1,0,0,An attractive doll.\nUse it to flee from any battle with\na wild POKéMON.,,4,,2,,0,0,0
81,ITEM_FLUFFY_TAIL,FLUFFY TAIL,,1000,1,0,0,An attractive item.\nUse it to flee from any battle with\na wild POKéMON.,,4,,2,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
83,ITEM_SUPER_REPEL,SUPER REPEL,,500,1,0,200,Prevents weak wild POKéMON from\nappearing for 200 steps.,,4,,0,,0,0,0
84,ITEM_MAX_REPEL,MAX REPEL,,700,1,0,250,Prevents weak wild POKéMON from\nappearing for 250 steps.,,4,,0,,0,0,0
85,ITEM_ESCAPE_ROPE,ESCAPE ROPE,,550,1,0,0,"A long, durable rope.\nUse it to escape instantly from a\ncave or a dungeon.",,2,,0,,0,0,0
86,ITEM_REPEL,REPEL,,350,1,0,100,Prevents weak wild POKéMON from\nappearing for 100 steps.,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
93,ITEM_SUN_STONE,SUN STONE,,2100,1,0,0,A peculiar stone that makes certain\nspecies of POKéMON evolve.\nIt is as red as the sun.,,1,,0,,0,0,0
94,ITEM_MOON_STONE,MOON STONE,,0,1,0,0,A peculiar stone that makes certain\nspecies of POKéMON evolve.\nIt is as black as the night sky.,,1,,0,,0,0,0
95,ITEM_FIRE_STONE,FIRE STONE,,2100,1,0,0,A peculiar stone that makes certain\nspecies of POKéMON evolve.\nIt is colored orange.,,1,,0,,0,0,0
96,ITEM_THUNDER_STONE,THUNDERSTONE,,2100,1,0,0,A peculiar stone that makes certain\nspecies of POKéMON evolve.\nIt has a thunderbolt pattern.,,1,,0,,0,0,0
97,ITEM_WATER_STONE,WATER STONE,,2100,1,0,0,A peculiar stone that makes certain\nspecies of POKéMON evolve.\nIt is a clear light blue.,,1,,0,,0,0,0
98,ITEM_LEAF_STONE,LEAF STONE,,2100,1,0,0,A peculiar stone that makes certain\nspecies of POKéMON evolve.\nIt has a leaf pattern.,,1,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
103,ITEM_TINY_MUSHROOM,TINYMUSHROOM,,500,1,0,0,A small and rare mushroom.\nIt is quite popular among certain\npeople.,,4,,0,,0,0,0
104,ITEM_BIG_MUSHROOM,BIG MUSHROOM,,5000,1,0,0,A large and rare mushroom.\nIt is very popular among certain\npeople.,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
106,ITEM_PEARL,PEARL,,1400,1,0,0,A relatively small pearl that\nsparkles in a pretty silver color.\nIt can be sold cheaply.,,4,,0,,0,0,0
107,ITEM_BIG_PEARL,BIG PEARL,,7500,1,0,0,A quite-large pearl that sparkles\nin a pretty silver color.\nIt can be sold at a high price.,,4,,0,,0,0,0
108,ITEM_STARDUST,STARDUST,,2000,1,0,0,"A pretty red sand with a loose,\nsilky feel.\nIt can be sold at a high price.",,4,,0,,0,0,0
109,ITEM_STAR_PIECE,STAR PIECE,,9800,1,0,0,A shard of a pretty gem that\nsparkles in a red color.\nIt can be sold at a high price.,,4,,0,,0,0,0
110,ITEM_NUGGET,NUGGET,,10000,1,0,0,A nugget of pure gold that gives\noff a lustrous gleam.\nIt can be sold at a high price.,,4,,0,,0,0,0
111,ITEM_HEART_SCALE,HEART SCALE,,100,1,0,0,"A pretty, heart-shaped scale that\nis extremely rare. It glows faintly\nin the colors of a rainbow.",,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
121,ITEM_ORANGE_MAIL,ORANGE MAIL,,50,1,0,0,A piece of MAIL featuring a cute\nZIGZAGOON print.\nIt is to be held by a POKéMON.,,0,,0,,0,0,0
122,ITEM_HARBOR_MAIL,HARBOR MAIL,,50,1,0,0,A piece of MAIL featuring a cute\nWINGULL print.\nIt is to be held by a POKéMON.,,0,,0,,1,0,0
123,ITEM_GLITTER_MAIL,GLITTER MAIL,,50,1,0,0,A piece of MAIL featuring a cute\nPIKACHU print.\nIt is to be held by a POKéMON.,,0,,0,,2,0,0
124,ITEM_MECH_MAIL,MECH MAIL,,50,1,0,0,A piece of MAIL featuring a cute\nMAGNEMITE print.\nIt is to be held by a POKéMON.,,0,,0,,3,0,0
125,ITEM_WOOD_MAIL,WOOD MAIL,,50,1,0,0,A piece of MAIL featuring a cute\nSLAKOTH print.\nIt is to be held by a POKéMON.,,0,,0,,4,0,0
126,ITEM_WAVE_MAIL,WAVE MAIL,,50,1,0,0,A piece of MAIL featuring a cute\nWAILMER print.\nIt is to be held by a POKéMON.,,0,,0,,5,0,0
127,ITEM_BEAD_MAIL,BEAD MAIL,,50,1,0,0,A piece of MAIL to be held by a\nPOKéMON. It will bear the print of\nthe POKéMON holding it.,,0,,0,,6,0,0
128,ITEM_SHADOW_MAIL,SHADOW MAIL,,50,1,0,0,A piece of MAIL featuring a cute\nDUSKULL print.\nIt is to be held by a POKéMON.,,0,,0,,7,0,0
129,ITEM_TROPIC_MAIL,TROPIC MAIL,,50,1,0,0,A piece of MAIL featuring a cute\nBELLOSSOM print.\nIt is to be held by a POKéMON.,,0,,0,,8,0,0
130,ITEM_DREAM_MAIL,DREAM MAIL,,50,1,0,0,A piece of MAIL to be held by a\nPOKéMON. It will bear the print of\nthe POKéMON holding it.,,0,,0,,9,0,0
131,ITEM_FAB_MAIL,FAB MAIL,,50,1,0,0,"A piece of MAIL featuring a\ngorgeous, extravagant print.\nIt is to be held by a POKéMON.",,0,,0,,10,0,0
132,ITEM_RETRO_MAIL,RETRO MAIL,,50,1,0,0,A piece of MAIL featuring a print\nof three cute POKéMON.\nIt is to be held by a POKéMON.,,0,,0,,11,0,0
133,ITEM_CHERI_BERRY,CHERI BERRY,,20,5,2,0,"When held by a POKéMON, it will be\nused in battle to heal paralysis.",,1,,1,,0,0,0
134,ITEM_CHESTO_BERRY,CHESTO BERRY,,20,5,3,0,"When held by a POKéMON, it will be\nused in battle to wake up.",,1,,1,,0,0,0
135,ITEM_PECHA_BERRY,PECHA BERRY,,20,5,4,0,"When held by a POKéMON, it will be\nused in battle to cure poison.",,1,,1,,0,0,0
136,ITEM_RAWST_BERRY,RAWST BERRY,,20,5,5,0,"When held by a POKéMON, it will be\nused in battle to heal a burn.",,1,,1,,0,0,0
137,ITEM_ASPEAR_BERRY,ASPEAR BERRY,,20,5,6,0,"When held by a POKéMON, it will be\nused in battle for defrosting.",,1,,1,,0,0,0
138,ITEM_LEPPA_BERRY,LEPPA BERRY,,20,5,7,10,"When held by a POKéMON, it will be\nused in battle to restore 10 PP.",,1,,1,,0,0,0
139,ITEM_ORAN_BERRY,ORAN BERRY,,20,5,1,10,"When held by a POKéMON, it will be\nused in battle to restore 10 HP.",,1,,1,,0,0,0
140,ITEM_PERSIM_BERRY,PERSIM BERRY,,20,5,8,0,"When held by a POKéMON, it will be\nused in battle to lift confusion.",,4,,1,,0,0,0
141,ITEM_LUM_BERRY,LUM BERRY,,20,5,9,0,"When held by a POKéMON, it will be\nused in battle to heal any problem.",,1,,1,,0,0,0
142,ITEM_SITRUS_BERRY,SITRUS BERRY,,20,5,1,30,"When held by a POKéMON, it will be\nused in battle to restore 30 HP.",,1,,1,,0,0,0
143,ITEM_FIGY_BERRY,FIGY BERRY,,20,5,10,8,A hold item that restores HP but\nmay cause confusion when used.,,4,,0,,0,0,0
144,ITEM_WIKI_BERRY,WIKI BERRY,,20,5,11,8,A hold item that restores HP but\nmay cause confusion when used.,,4,,0,,0,0,0
145,ITEM_MAGO_BERRY,MAGO BERRY,,20,5,12,8,A hold item that restores HP but\nmay cause confusion when used.,,4,,0,,0,0,0
146,ITEM_AGUAV_BERRY,AGUAV BERRY,,20,5,13,8,A hold item that restores HP but\nmay cause confusion when used.,,4,,0,,0,0,0
147,ITEM_IAPAPA_BERRY,IAPAPA BERRY,,20,5,14,8,A hold item that restores HP but\nmay cause confusion when used.,,4,,0,,0,0,0
148,ITEM_RAZZ_BERRY,RAZZ BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
149,ITEM_BLUK_BERRY,BLUK BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
150,ITEM_NANAB_BERRY,NANAB BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
151,ITEM_WEPEAR_BERRY,WEPEAR BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
152,ITEM_PINAP_BERRY,PINAP BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
153,ITEM_POMEG_BERRY,POMEG BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
154,ITEM_KELPSY_BERRY,KELPSY BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
155,ITEM_QUALOT_BERRY,QUALOT BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
156,ITEM_HONDEW_BERRY,HONDEW BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
157,ITEM_GREPA_BERRY,GREPA BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
158,ITEM_TAMATO_BERRY,TAMATO BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
159,ITEM_CORNN_BERRY,CORNN BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
160,ITEM_MAGOST_BERRY,MAGOST BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
161,ITEM_RABUTA_BERRY,RABUTA BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
162,ITEM_NOMEL_BERRY,NOMEL BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
163,ITEM_SPELON_BERRY,SPELON BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
164,ITEM_PAMTRE_BERRY,PAMTRE BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
165,ITEM_WATMEL_BERRY,WATMEL BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
166,ITEM_DURIN_BERRY,DURIN BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
167,ITEM_BELUE_BERRY,BELUE BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,0,,0,0,0
168,ITEM_LIECHI_BERRY,LIECHI BERRY,,20,5,15,4,"When held by a POKéMON, it raises\nthe ATTACK stat in a pinch.",,4,,0,,0,0,0
169,ITEM_GANLON_BERRY,GANLON BERRY,,20,5,16,4,"When held by a POKéMON, it raises\nthe DEFENSE stat in a pinch.",,4,,0,,0,0,0
170,ITEM_SALAC_BERRY,SALAC BERRY,,20,5,17,4,"When held by a POKéMON, it raises\nthe SPEED stat in a pinch.",,4,,0,,0,0,0
171,ITEM_PETAYA_BERRY,PETAYA BERRY,,20,5,18,4,"When held by a POKéMON, it raises\nthe SP. ATK stat in a pinch.",,4,,0,,0,0,0
172,ITEM_APICOT_BERRY,APICOT BERRY,,20,5,19,4,"When held by a POKéMON, it raises\nthe SP. DEF stat in a pinch.",,4,,0,,0,0,0
173,ITEM_LANSAT_BERRY,LANSAT BERRY,,20,5,20,4,"When held by a POKéMON, it raises\nthe critical-hit ratio in a pinch.",,4,,0,,0,0,0
174,ITEM_STARF_BERRY,STARF BERRY,,20,5,21,4,"When held by a POKéMON, it sharply\nraises one stat in a pinch.",,4,,0,,0,0,0
175,ITEM_ENIGMA_BERRY,ENIGMA BERRY,,20,5,0,0,Can be ground up into a powder as\nan ingredient for medicine.,,4,,1,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
179,ITEM_BRIGHT_POWDER,BRIGHTPOWDER,,10,1,22,10,An item to be held by a POKéMON.\nIt casts a tricky glare that lowers\nthe opponent's accuracy.,,4,,0,,0,0,0
180,ITEM_WHITE_HERB,WHITE HERB,,100,1,23,0,An item to be held by a POKéMON.\nIt restores any lowered stat in\nbattle. It can be used only once.,,4,,0,,0,0,0
181,ITEM_MACHO_BRACE,MACHO BRACE,,3000,1,24,0,An item to be held by a POKéMON.\nIt promotes strong growth but\nlowers SPEED while it is held.,,4,,0,,0,0,0
182,ITEM_EXP_SHARE,EXP. SHARE,,3000,1,25,0,An item to be held by a POKéMON.\nThe holder gets a share of EXP.\npoints without having to battle.,,4,,0,,0,0,0
183,ITEM_QUICK_CLAW,QUICK CLAW,,100,1,26,20,An item to be held by a POKéMON.\nA light and sharp claw. The holder\nmay be able to strike first.,,4,,0,,0,0,0
184,ITEM_SOOTHE_BELL,SOOTHE BELL,,100,1,27,0,An item to be held by a POKéMON.\nA bell with a comforting chime that\nmakes the holder calm and friendly.,,4,,0,,0,0,0
185,ITEM_MENTAL_HERB,MENTAL HERB,,100,1,28,0,An item to be held by a POKéMON.\nIt snaps the holder out of\ninfatuation. It can be used once.,,4,,0,,0,0,0
186,ITEM_CHOICE_BAND,CHOICE BAND,,100,1,29,0,"An item to be held by a POKéMON.\nIt powers up one move, which\nbecomes the only usable one.",,4,,0,,0,0,0
187,ITEM_KINGS_ROCK,KING'S ROCK,,100,1,30,10,An item to be held by a POKéMON.\nIt may cause the foe to flinch\nupon taking damage.,,4,,0,,0,0,0
188,ITEM_SILVER_POWDER,SILVERPOWDER,,100,1,31,10,An item to be held by a POKéMON.\nA shiny silver powder that boosts\nthe power of BUG-type moves.,,4,,0,,0,0,0
189,ITEM_AMULET_COIN,AMULET COIN,,100,1,32,10,An item to be held by a POKéMON.\nIt doubles the battle money if the\nholding POKéMON takes part.,,4,,0,,0,0,0
