species_id,const_name,name,name_ko
122,SPECIES_MR_MIME,MR. MIME,
123,SPECIES_SCYTHER,SCYTHER,
124,SPECIES_JYNX,JYNX,
125,SPECIES_ELECTABUZZ,ELECTABUZZ,
126,SPECIES_MAGMAR,MAGMAR,
127,SPECIES_PINSIR,PINSIR,
128,SPECIES_TAUROS,TAUROS,
129,SPECIES_MAGIKARP,MAGIKARP,
130,SPECIES_GYARADOS,GYARADOS,
131,SPECIES_LAPRAS,LAPRAS,
132,SPECIES_DITTO,DITTO,
133,SPECIES_EEVEE,EEVEE,
134,SPECIES_VAPOREON,VAPOREON,
135,SPECIES_JOLTEON,JOLTEON,
136,SPECIES_FLAREON,FLAREON,
137,SPECIES_PORYGON,PORYGON,
138,SPECIES_OMANYTE,OMANYTE,
139,SPECIES_OMASTAR,OMASTAR,
140,SPECIES_KABUTO,KABUTO,
141,SPECIES_KABUTOPS,KABUTOPS,
142,SPECIES_AERODACTYL,AERODACTYL,
143,SPECIES_SNORLAX,SNORLAX,
144,SPECIES_ARTICUNO,ARTICUNO,
145,SPECIES_ZAPDOS,ZAPDOS,
146,SPECIES_MOLTRES,MOLTRES,
147,SPECIES_DRATINI,DRATINI,
148,SPECIES_DRAGONAIR,DRAGONAIR,
149,SPECIES_DRAGONITE,DRAGONITE,
150,SPECIES_MEWTWO,MEWTWO,
151,SPECIES_MEW,MEW,
152,SPECIES_CHIKORITA,CHIKORITA,
153,SPECIES_BAYLEEF,BAYLEEF,
154,SPECIES_MEGANIUM,MEGANIUM,
155,SPECIES_CYNDAQUIL,CYNDAQUIL,
156,SPECIES_QUILAVA,QUILAVA,
157,SPECIES_TYPHLOSION,TYPHLOSION,
158,SPECIES_TOTODILE,TOTODILE,
159,SPECIES_CROCONAW,CROCONAW,
160,SPECIES_FERALIGATR,FERALIGATR,
161,SPECIES_SENTRET,SENTRET,
162,SPECIES_FURRET,FURRET,
163,SPECIES_HOOTHOOT,HOOTHOOT,
164,SPECIES_NOCTOWL,NOCTOWL,
165,SPECIES_LEDYBA,LEDYBA,
166,SPECIES_LEDIAN,LEDIAN,
167,SPECIES_SPINARAK,SPINARAK,
168,SPECIES_ARIADOS,ARIADOS,
169,SPECIES_CROBAT,CROBAT,
170,SPECIES_CHINCHOU,CHINCHOU,
171,SPECIES_LANTURN,LANTURN,
172,SPECIES_PICHU,PICHU,
173,SPECIES_CLEFFA,CLEFFA,
174,SPECIES_IGGLYBUFF,IGGLYBUFF,
175,SPECIES_TOGEPI,TOGEPI,
176,SPECIES_TOGETIC,TOGETIC,
177,SPECIES_NATU,NATU,
178,SPECIES_XATU,XATU,
179,SPECIES_MAREEP,MAREEP,
180,SPECIES_FLAAFFY,FLAAFFY,
181,SPECIES_AMPHAROS,AMPHAROS,
182,SPECIES_BELLOSSOM,BELLOSSOM,
183,SPECIES_MARILL,MARILL,
184,SPECIES_AZUMARILL,AZUMARILL,
185,SPECIES_SUDOWOODO,SUDOWOODO,
186,SPECIES_POLITOED,POLITOED,
187,SPECIES_HOPPIP,HOPPIP,
188,SPECIES_SKIPLOOM,SKIPLOOM,
189,SPECIES_JUMPLUFF,JUMPLUFF,
190,SPECIES_AIPOM,AIPOM,
191,SPECIES_SUNKERN,SUNKERN,
192,SPECIES_SUNFLORA,SUNFLORA,
193,SPECIES_YANMA,YANMA,
194,SPECIES_WOOPER,WOOPER,
195,SPECIES_QUAGSIRE,QUAGSIRE,
196,SPECIES_ESPEON,ESPEON,
197,SPECIES_UMBREON,UMBREON,
198,SPECIES_MURKROW,MURKROW,
199,SPECIES_SLOWKING,SLOWKING,
200,SPECIES_MISDREAVUS,MISDREAVUS,
201,SPECIES_UNOWN,UNOWN,
202,SPECIES_WOBBUFFET,WOBBUFFET,
203,SPECIES_GIRAFARIG,GIRAFARIG,
204,SPECIES_PINECO,PINECO,
205,SPECIES_FORRETRESS,FORRETRESS,
206,SPECIES_DUNSPARCE,DUNSPARCE,
207,SPECIES_GLIGAR,GLIGAR,
208,SPECIES_STEELIX,STEELIX,
209,SPECIES_SNUBBULL,SNUBBULL,
210,SPECIES_GRANBULL,GRANBULL,
211,SPECIES_QWILFISH,QWILFISH,
212,SPECIES_SCIZOR,SCIZOR,
213,SPECIES_SHUCKLE,SHUCKLE,
214,SPECIES_HERACROSS,HERACROSS,
215,SPECIES_SNEASEL,SNEASEL,
216,SPECIES_TEDDIURSA,TEDDIURSA,
217,SPECIES_URSARING,URSARING,
218,SPECIES_SLUGMA,SLUGMA,
219,SPECIES_MAGCARGO,MAGCARGO,
220,SPECIES_SWINUB,SWINUB,
221,SPECIES_PILOSWINE,PILOSWINE,
222,SPECIES_CORSOLA,CORSOLA,
223,SPECIES_REMORAID,REMORAID,
224,SPECIES_OCTILLERY,OCTILLERY,
225,SPECIES_DELIBIRD,DELIBIRD,
226,SPECIES_MANTINE,MANTINE,
227,SPECIES_SKARMORY,SKARMORY,
228,SPECIES_HOUNDOUR,HOUNDOUR,
229,SPECIES_HOUNDOOM,HOUNDOOM,
230,SPECIES_KINGDRA,KINGDRA,
231,SPECIES_PHANPY,PHANPY,
232,SPECIES_DONPHAN,DONPHAN,
233,SPECIES_PORYGON2,PORYGON2,
234,SPECIES_STANTLER,STANTLER,
235,SPECIES_SMEARGLE,SMEARGLE,
236,SPECIES_TYROGUE,TYROGUE,
237,SPECIES_HITMONTOP,HITMONTOP,
238,SPECIES_SMOOCHUM,SMOOCHUM,
239,SPECIES_ELEKID,ELEKID,
240,SPECIES_MAGBY,MAGBY,
241,SPECIES_MILTANK,MILTANK,
242,SPECIES_BLISSEY,BLISSEY,
243,SPECIES_RAIKOU,RAIKOU,
244,SPECIES_ENTEI,ENTEI,
245,SPECIES_SUICUNE,SUICUNE,
246,SPECIES_LARVITAR,LARVITAR,
247,SPECIES_PUPITAR,PUPITAR,
248,SPECIES_TYRANITAR,TYRANITAR,
249,SPECIES_LUGIA,LUGIA,
250,SPECIES_HO_OH,HO-OH,
251,SPECIES_CELEBI,CELEBI,
252,SPECIES_OLD_UNOWN_B,?,
253,SPECIES_OLD_UNOWN_C,?,
254,SPECIES_OLD_UNOWN_D,?,
255,SPECIES_OLD_UNOWN_E,?,
256,SPECIES_OLD_UNOWN_F,?,
257,SPECIES_OLD_UNOWN_G,?,
258,SPECIES_OLD_UNOWN_H,?,
259,SPECIES_OLD_UNOWN_I,?,
260,SPECIES_OLD_UNOWN_J,?,
261,SPECIES_OLD_UNOWN_K,?,
262,SPECIES_OLD_UNOWN_L,?,
263,SPECIES_OLD_UNOWN_M,?,
264,SPECIES_OLD_UNOWN_N,?,
265,SPECIES_OLD_UNOWN_O,?,
266,SPECIES_OLD_UNOWN_P,?,
267,SPECIES_OLD_UNOWN_Q,?,
268,SPECIES_OLD_UNOWN_R,?,
269,SPECIES_OLD_UNOWN_S,?,
270,SPECIES_OLD_UNOWN_T,?,
271,SPECIES_OLD_UNOWN_U,?,
272,SPECIES_OLD_UNOWN_V,?,
273,SPECIES_OLD_UNOWN_W,?,
274,SPECIES_OLD_UNOWN_X,?,
275,SPECIES_OLD_UNOWN_Y,?,
276,SPECIES_OLD_UNOWN_Z,?,
277,SPECIES_TREECKO,TREECKO,
278,SPECIES_GROVYLE,GROVYLE,
279,SPECIES_SCEPTILE,SCEPTILE,
280,SPECIES_TORCHIC,TORCHIC,
281,SPECIES_COMBUSKEN,COMBUSKEN,
282,SPECIES_BLAZIKEN,BLAZIKEN,
283,SPECIES_MUDKIP,MUDKIP,
284,SPECIES_MARSHTOMP,MARSHTOMP,
285,SPECIES_SWAMPERT,SWAMPERT,
286,SPECIES_POOCHYENA,POOCHYENA,
287,SPECIES_MIGHTYENA,MIGHTYENA,
288,SPECIES_ZIGZAGOON,ZIGZAGOON,
289,SPECIES_LINOONE,LINOONE,
290,SPECIES_WURMPLE,WURMPLE,
291,SPECIES_SILCOON,SILCOON,
292,SPECIES_BEAUTIFLY,BEAUTIFLY,
293,SPECIES_CASCOON,CASCOON,
294,SPECIES_DUSTOX,DUSTOX,
295,SPECIES_LOTAD,LOTAD,
296,SPECIES_LOMBRE,LOMBRE,
297,SPECIES_LUDICOLO,LUDICOLO,
298,SPECIES_SEEDOT,SEEDOT,
299,SPECIES_NUZLEAF,NUZLEAF,
300,SPECIES_SHIFTRY,SHIFTRY,
301,SPECIES_NINCADA,NINCADA,
302,SPECIES_NINJASK,NINJASK,
303,SPECIES_SHEDINJA,SHEDINJA,
304,SPECIES_TAILLOW,TAILLOW,
305,SPECIES_SWELLOW,SWELLOW,
306,SPECIES_SHROOMISH,SHROOMISH,
307,SPECIES_BRELOOM,BRELOOM,
308,SPECIES_SPINDA,SPINDA,
309,SPECIES_WINGULL,WINGULL,
310,SPECIES_PELIPPER,PELIPPER,
311,SPECIES_SURSKIT,SURSKIT,
312,SPECIES_MASQUERAIN,MASQUERAIN,
313,SPECIES_WAILMER,WAILMER,
314,SPECIES_WAILORD,WAILORD,
315,SPECIES_SKITTY,SKITTY,
316,SPECIES_DELCATTY,DELCATTY,
317,SPECIES_KECLEON,KECLEON,
318,SPECIES_BALTOY,BALTOY,
319,SPECIES_CLAYDOL,CLAYDOL,
320,SPECIES_NOSEPASS,NOSEPASS,
321,SPECIES_TORKOAL,TORKOAL,
322,SPECIES_SABLEYE,SABLEYE,
323,SPECIES_BARBOACH,BARBOACH,
324,SPECIES_WHISCASH,WHISCASH,
325,SPECIES_LUVDISC,LUVDISC,
326,SPECIES_CORPHISH,CORPHISH,
327,SPECIES_CRAWDAUNT,CRAWDAUNT,
328,SPECIES_FEEBAS,FEEBAS,
329,SPECIES_MILOTIC,MILOTIC,
330,SPECIES_CARVANHA,CARVANHA,
331,SPECIES_SHARPEDO,SHARPEDO,
332,SPECIES_TRAPINCH,TRAPINCH,
333,SPECIES_VIBRAVA,VIBRAVA,
334,SPECIES_FLYGON,FLYGON,
335,SPECIES_MAKUHITA,MAKUHITA,
336,SPECIES_HARIYAMA,HARIYAMA,
337,SPECIES_ELECTRIKE,ELECTRIKE,
338,SPECIES_MANECTRIC,MANECTRIC,
339,SPECIES_NUMEL,NUMEL,
340,SPECIES_CAMERUPT,CAMERUPT,
341,SPECIES_SPHEAL,SPHEAL,
342,SPECIES_SEALEO,SEALEO,
343,SPECIES_WALREIN,WALREIN,
344,SPECIES_CACNEA,CACNEA,
345,SPECIES_CACTURNE,CACTURNE,
346,SPECIES_SNORUNT,SNORUNT,
347,SPECIES_GLALIE,GLALIE,
348,SPECIES_LUNATONE,LUNATONE,
349,SPECIES_SOLROCK,SOLROCK,
350,SPECIES_AZURILL,AZURILL,
351,SPECIES_SPOINK,SPOINK,
352,SPECIES_GRUMPIG,GRUMPIG,
353,SPECIES_PLUSLE,PLUSLE,
354,SPECIES_MINUN,MINUN,
355,SPECIES_MAWILE,MAWILE,
356,SPECIES_MEDITITE,MEDITITE,
357,SPECIES_MEDICHAM,MEDICHAM,
358,SPECIES_SWABLU,SWABLU,
359,SPECIES_ALTARIA,ALTARIA,
360,SPECIES_WYNAUT,WYNAUT,
361,SPECIES_DUSKULL,DUSKULL,
362,SPECIES_DUSCLOPS,DUSCLOPS,
363,SPECIES_ROSELIA,ROSELIA,
364,SPECIES_SLAKOTH,SLAKOTH,
365,SPECIES_VIGOROTH,VIGOROTH,
366,SPECIES_SLAKING,SLAKING,
367,SPECIES_GULPIN,GULPIN,
368,SPECIES_SWALOT,SWALOT,
369,SPECIES_TROPIUS,TROPIUS,
370,SPECIES_WHISMUR,WHISMUR,
371,SPECIES_LOUDRED,LOUDRED,
372,SPECIES_EXPLOUD,EXPLOUD,
373,SPECIES_CLAMPERL,CLAMPERL,
374,SPECIES_HUNTAIL,HUNTAIL,
375,SPECIES_GOREBYSS,GOREBYSS,
376,SPECIES_ABSOL,ABSOL,
377,SPECIES_SHUPPET,SHUPPET,
378,SPECIES_BANETTE,BANETTE,
379,SPECIES_SEVIPER,SEVIPER,
380,SPECIES_ZANGOOSE,ZANGOOSE,
381,SPECIES_RELICANTH,RELICANTH,
382,SPECIES_ARON,ARON,
383,SPECIES_LAIRON,LAIRON,
384,SPECIES_AGGRON,AGGRON,
385,SPECIES_CASTFORM,CASTFORM,
386,SPECIES_VOLBEAT,VOLBEAT,
387,SPECIES_ILLUMISE,ILLUMISE,
388,SPECIES_LILEEP,LILEEP,
389,SPECIES_CRADILY,CRADILY,
390,SPECIES_ANORITH,ANORITH,
391,SPECIES_ARMALDO,ARMALDO,
392,SPECIES_RALTS,RALTS,
393,SPECIES_KIRLIA,KIRLIA,
394,SPECIES_GARDEVOIR,GARDEVOIR,
395,SPECIES_BAGON,BAGON,
396,SPECIES_SHELGON,SHELGON,
397,SPECIES_SALAMENCE,SALAMENCE,
398,SPECIES_BELDUM,BELDUM,
399,SPECIES_METANG,METANG,
400,SPECIES_METAGROSS,METAGROSS,
401,SPECIES_REGIROCK,REGIROCK,
402,SPECIES_REGICE,REGICE,
403,SPECIES_REGISTEEL,REGISTEEL,
404,SPECIES_KYOGRE,KYOGRE,
405,SPECIES_GROUDON,GROUDON,
406,SPECIES_RAYQUAZA,RAYQUAZA,
407,SPECIES_LATIAS,LATIAS,
408,SPECIES_LATIOS,LATIOS,
409,SPECIES_JIRACHI,JIRACHI,
410,SPECIES_DEOXYS,DEOXYS,
411,SPECIES_CHIMECHO,CHIMECHO,
