move_id,const_name,name,name_ko
138,MOVE_DREAM_EATER,DREAM EATER,
139,MOVE_POISON_GAS,POISON GAS,
140,MOVE_BARRAGE,BARRAGE,
141,MOVE_LEECH_LIFE,LEECH LIFE,
142,MOVE_LOVELY_KISS,LOVELY KISS,
143,MOVE_SKY_ATTACK,SKY ATTACK,
144,MOVE_TRANSFORM,TRANSFORM,
145,MOVE_BUBBLE,BUBBLE,
146,MOVE_DIZZY_PUNCH,DIZZY PUNCH,
147,MOVE_SPORE,SPORE,
148,MOVE_FLASH,FLASH,
149,MOVE_PSYWAVE,PSYWAVE,
150,MOVE_SPLASH,SPLASH,
151,MOVE_ACID_ARMOR,ACID ARMOR,
152,MOVE_CRABHAMMER,CRABHAMMER,
153,MOVE_EXPLOSION,EXPLOSION,
154,MOVE_FURY_SWIPES,FURY SWIPES,
155,MOVE_BONEMERANG,BONEMERANG,
156,MOVE_REST,REST,
157,MOVE_ROCK_SLIDE,ROCK SLIDE,
158,MOVE_HYPER_FANG,HYPER FANG,
159,MOVE_SHARPEN,SHARPEN,
160,MOVE_CONVERSION,CONVERSION,
161,MOVE_TRI_ATTACK,TRI ATTACK,
162,MOVE_SUPER_FANG,SUPER FANG,
163,MOVE_SLASH,SLASH,
164,MOVE_SUBSTITUTE,SUBSTITUTE,
165,MOVE_STRUGGLE,STRUGGLE,
166,MOVE_SKETCH,SKETCH,
167,MOVE_TRIPLE_KICK,TRIPLE KICK,
168,MOVE_THIEF,THIEF,
169,MOVE_SPIDER_WEB,SPIDER WEB,
170,MOVE_MIND_READER,MIND READER,
171,MOVE_NIGHTMARE,NIGHTMARE,
172,MOVE_FLAME_WHEEL,FLAME WHEEL,
173,MOVE_SNORE,SNORE,
174,MOVE_CURSE,CURSE,
175,MOVE_FLAIL,FLAIL,
176,MOVE_CONVERSION_2,CONVERSION 2,
177,MOVE_AEROBLAST,AEROBLAST,
178,MOVE_COTTON_SPORE,COTTON SPORE,
179,MOVE_REVERSAL,REVERSAL,
180,MOVE_SPITE,SPITE,
181,MOVE_POWDER_SNOW,POWDER SNOW,
182,MOVE_PROTECT,PROTECT,
183,MOVE_MACH_PUNCH,MACH PUNCH,
184,MOVE_SCARY_FACE,SCARY FACE,
185,MOVE_FAINT_ATTACK,FAINT ATTACK,
186,MOVE_SWEET_KISS,SWEET KISS,
187,MOVE_BELLY_DRUM,BELLY DRUM,
188,MOVE_SLUDGE_BOMB,SLUDGE BOMB,
189,MOVE_MUD_SLAP,MUD-SLAP,
190,MOVE_OCTAZOOKA,OCTAZOOKA,
191,MOVE_SPIKES,SPIKES,
192,MOVE_ZAP_CANNON,ZAP CANNON,
193,MOVE_FORESIGHT,FORESIGHT,
194,MOVE_DESTINY_BOND,DESTINY BOND,
195,MOVE_PERISH_SONG,PERISH SONG,
196,MOVE_ICY_WIND,ICY WIND,
197,MOVE_DETECT,DETECT,
198,MOVE_BONE_RUSH,BONE RUSH,
199,MOVE_LOCK_ON,LOCK-ON,
200,MOVE_OUTRAGE,OUTRAGE,
201,MOVE_SANDSTORM,SANDSTORM,
202,MOVE_GIGA_DRAIN,GIGA DRAIN,
203,MOVE_ENDURE,ENDURE,
204,MOVE_CHARM,CHARM,
205,MOVE_ROLLOUT,ROLLOUT,
206,MOVE_FALSE_SWIPE,FALSE SWIPE,
207,MOVE_SWAGGER,SWAGGER,
208,MOVE_MILK_DRINK,MILK DRINK,
209,MOVE_SPARK,SPARK,
210,MOVE_FURY_CUTTER,FURY CUTTER,
211,MOVE_STEEL_WING,STEEL WING,
212,MOVE_MEAN_LOOK,MEAN LOOK,
213,MOVE_ATTRACT,ATTRACT,
214,MOVE_SLEEP_TALK,SLEEP TALK,
215,MOVE_HEAL_BELL,HEAL BELL,
216,MOVE_RETURN,RETURN,
217,MOVE_PRESENT,PRESENT,
218,MOVE_FRUSTRATION,FRUSTRATION,
219,MOVE_SAFEGUARD,SAFEGUARD,
220,MOVE_PAIN_SPLIT,PAIN SPLIT,
221,MOVE_SACRED_FIRE,SACRED FIRE,
222,MOVE_MAGNITUDE,MAGNITUDE,
223,MOVE_DYNAMIC_PUNCH,DYNAMICPUNCH,
224,MOVE_MEGAHORN,MEGAHORN,
225,MOVE_DRAGON_BREATH,DRAGONBREATH,
226,MOVE_BATON_PASS,BATON PASS,
227,MOVE_ENCORE,ENCORE,
228,MOVE_PURSUIT,PURSUIT,
229,MOVE_RAPID_SPIN,RAPID SPIN,
230,MOVE_SWEET_SCENT,SWEET SCENT,
231,MOVE_IRON_TAIL,IRON TAIL,
232,MOVE_METAL_CLAW,METAL CLAW,
233,MOVE_VITAL_THROW,VITAL THROW,
234,MOVE_MORNING_SUN,MORNING SUN,
235,MOVE_SYNTHESIS,SYNTHESIS,
236,MOVE_MOONLIGHT,MOONLIGHT,
237,MOVE_HIDDEN_POWER,HIDDEN POWER,
238,MOVE_CROSS_CHOP,CROSS CHOP,
239,MOVE_TWISTER,TWISTER,
240,MOVE_RAIN_DANCE,RAIN DANCE,
241,MOVE_SUNNY_DAY,SUNNY DAY,
242,MOVE_CRUNCH,CRUNCH,
243,MOVE_MIRROR_COAT,MIRROR COAT,
244,MOVE_PSYCH_UP,PSYCH UP,
245,MOVE_EXTREME_SPEED,EXTREMESPEED,
246,MOVE_ANCIENT_POWER,ANCIENTPOWER,
247,MOVE_SHADOW_BALL,SHADOW BALL,
248,MOVE_FUTURE_SIGHT,FUTURE SIGHT,
249,MOVE_ROCK_SMASH,ROCK SMASH,
250,MOVE_WHIRLPOOL,WHIRLPOOL,
251,MOVE_BEAT_UP,BEAT UP,
252,MOVE_FAKE_OUT,FAKE OUT,
253,MOVE_UPROAR,UPROAR,
254,MOVE_STOCKPILE,STOCKPILE,
255,MOVE_SPIT_UP,SPIT UP,
256,MOVE_SWALLOW,SWALLOW,
257,MOVE_HEAT_WAVE,HEAT WAVE,
258,MOVE_HAIL,HAIL,
259,MOVE_TORMENT,TORMENT,
260,MOVE_FLATTER,FLATTER,
261,MOVE_WILL_O_WISP,WILL-O-WISP,
262,MOVE_MEMENTO,MEMENTO,
263,MOVE_FACADE,FACADE,
264,MOVE_FOCUS_PUNCH,FOCUS PUNCH,
265,MOVE_SMELLING_SALT,SMELLINGSALT,
266,MOVE_FOLLOW_ME,FOLLOW ME,
267,MOVE_NATURE_POWER,NATURE POWER,
268,MOVE_CHARGE,CHARGE,
269,MOVE_TAUNT,TAUNT,
270,MOVE_HELPING_HAND,HELPING HAND,
271,MOVE_TRICK,TRICK,
272,MOVE_ROLE_PLAY,ROLE PLAY,
273,MOVE_WISH,WISH,
274,MOVE_ASSIST,ASSIST,
275,MOVE_INGRAIN,INGRAIN,
276,MOVE_SUPERPOWER,SUPERPOWER,
277,MOVE_MAGIC_COAT,MAGIC COAT,
278,MOVE_RECYCLE,RECYCLE,
279,MOVE_REVENGE,REVENGE,
280,MOVE_BRICK_BREAK,BRICK BREAK,
281,MOVE_YAWN,YAWN,
282,MOVE_KNOCK_OFF,KNOCK OFF,
283,MOVE_ENDEAVOR,ENDEAVOR,
284,MOVE_ERUPTION,ERUPTION,
285,MOVE_SKILL_SWAP,SKILL SWAP,
286,MOVE_IMPRISON,IMPRISON,
287,MOVE_REFRESH,REFRESH,
288,MOVE_GRUDGE,GRUDGE,
289,MOVE_SNATCH,SNATCH,
290,MOVE_SECRET_POWER,SECRET POWER,
291,MOVE_DIVE,DIVE,
292,MOVE_ARM_THRUST,ARM THRUST,
293,MOVE_CAMOUFLAGE,CAMOUFLAGE,
294,MOVE_TAIL_GLOW,TAIL GLOW,
295,MOVE_LUSTER_PURGE,LUSTER PURGE,
296,MOVE_MIST_BALL,MIST BALL,
297,MOVE_FEATHER_DANCE,FEATHERDANCE,
298,MOVE_TEETER_DANCE,TEETER DANCE,
299,MOVE_BLAZE_KICK,BLAZE KICK,
300,MOVE_MUD_SPORT,MUD SPORT,
301,MOVE_ICE_BALL,ICE BALL,
302,MOVE_NEEDLE_ARM,NEEDLE ARM,
303,MOVE_SLACK_OFF,SLACK OFF,
304,MOVE_HYPER_VOICE,HYPER VOICE,
305,MOVE_POISON_FANG,POISON FANG,
306,MOVE_CRUSH_CLAW,CRUSH CLAW,
307,MOVE_BLAST_BURN,BLAST BURN,
308,MOVE_HYDRO_CANNON,HYDRO CANNON,
309,MOVE_METEOR_MASH,METEOR MASH,
310,MOVE_ASTONISH,ASTONISH,
311,MOVE_WEATHER_BALL,WEATHER BALL,
312,MOVE_AROMATHERAPY,AROMATHERAPY,
313,MOVE_FAKE_TEARS,FAKE TEARS,
314,MOVE_AIR_CUTTER,AIR CUTTER,
315,MOVE_OVERHEAT,OVERHEAT,
316,MOVE_ODOR_SLEUTH,ODOR SLEUTH,
317,MOVE_ROCK_TOMB,ROCK TOMB,
318,MOVE_SILVER_WIND,SILVER WIND,
319,MOVE_METAL_SOUND,METAL SOUND,
320,MOVE_GRASS_WHISTLE,GRASSWHISTLE,
321,MOVE_TICKLE,TICKLE,
322,MOVE_COSMIC_POWER,COSMIC POWER,
323,MOVE_WATER_SPOUT,WATER SPOUT,
324,MOVE_SIGNAL_BEAM,SIGNAL BEAM,
325,MOVE_SHADOW_PUNCH,SHADOW PUNCH,
326,MOVE_EXTRASENSORY,EXTRASENSORY,
327,MOVE_SKY_UPPERCUT,SKY UPPERCUT,
328,MOVE_SAND_TOMB,SAND TOMB,
329,MOVE_SHEER_COLD,SHEER COLD,
330,MOVE_MUDDY_WATER,MUDDY WATER,
331,MOVE_BULLET_SEED,BULLET SEED,
332,MOVE_AERIAL_ACE,AERIAL ACE,
333,MOVE_ICICLE_SPEAR,ICICLE SPEAR,
334,MOVE_IRON_DEFENSE,IRON DEFENSE,
335,MOVE_BLOCK,BLOCK,
336,MOVE_HOWL,HOWL,
337,MOVE_DRAGON_CLAW,DRAGON CLAW,
338,MOVE_FRENZY_PLANT,FRENZY PLANT,
339,MOVE_BULK_UP,BULK UP,
340,MOVE_BOUNCE,BOUNCE,
341,MOVE_MUD_SHOT,MUD SHOT,
342,MOVE_POISON_TAIL,POISON TAIL,
343,MOVE_COVET,COVET,
344,MOVE_VOLT_TACKLE,VOLT TACKLE,
345,MOVE_MAGICAL_LEAF,MAGICAL LEAF,
346,MOVE_WATER_SPORT,WATER SPORT,
347,MOVE_CALM_MIND,CALM MIND,
348,MOVE_LEAF_BLADE,LEAF BLADE,
349,MOVE_DRAGON_DANCE,DRAGON DANCE,
350,MOVE_ROCK_BLAST,ROCK BLAST,
351,MOVE_SHOCK_WAVE,SHOCK WAVE,
352,MOVE_WATER_PULSE,WATER PULSE,
353,MOVE_DOOM_DESIRE,DOOM DESIRE,
354,MOVE_PSYCHO_BOOST,PSYCHO BOOST,
